Account ID	Summoner Name	Rank	Role	Lane	Wins	kills	deaths	assists	goldEarned	goldSpent	magicDamageDealt	magicDamageDealtToChampions	magicalDamageTaken	physicalDamageDealt	physicalDamageDealtToChampions	physicalDamageTaken	trueDamageDealt	trueDamageDealtToChampions	trueDamageTaken	totalDamageDealt	totalDamageDealtToChampions	totalDamageTaken	longestTimeSpentLiving	damageDealtToTurrets	damageDealtToObjectives	totalHeal	totalUnitsHealed	visionScore	wardsPlaced	wardsKilled	visionWardsBoughtInGame	sightWardsBoughtInGame	totalTimeCrowdControlDealt	damageSelfMitigated	timeCCingOthers	totalMinionsKilled	neutralMinionsKilled	largestCriticalStrike	neutralMinionsKilledTeamJungle	neutralMinionsKilledEnemyJungle	champLevel	doubleKills	tripleKills	quadraKills	pentaKills	unrealKills	inhibitorKills	turretKills	killingSprees	largestKillingSpree	largestMultiKill
vAbFFKMZEysd94qWNMGua7MhpW8vuaQQUIINNUHhWnlcoOY	PrimalKebab	DIAMOND II	SOLO	TOP	53	5.61	5.57	4.7	11292.59	10193.27	34700.05	5864.17	9582.02	102958.38	12820.59	15215.88	4557.86	743.73	2515.57	142217.01	19429.13	27314.46	588.05	4418.64	8867.86	6912.86	0.98	12.14	7.07	1.17	0.0	0.0	153.82	24237.31	13.43	174.72	10.62	27.1	4.46	2.96	14.71	0.53	0.09	0.02	0.0	0.0	0.31	1.53	1.23	2.67	1.36
U39scTRcX2OCLCzuhqyauO8FpVoewNm_0CydlJX_2HZVZW0	ThisFcngkNokk3r	DIAMOND II	DUO_SUPPORT	BOTTOM	57	5.97	6.05	7.98	10168.21	9113.85	38411.89	8298.83	7192.5	64278.68	6672.06	11593.97	8129.85	1998.53	722.01	110821.44	16970.18	19509.34	555.89	2158.2	13762.23	7520.62	4.45	34.06	12.37	3.69	3.31	0.0	192.07	9850.39	16.4	47.4	64.53	353.12	40.48	8.71	13.28	0.55	0.05	0.01	0.0	0.0	0.28	0.95	1.28	2.75	1.38
_VVZyJ0ZwbPWWi0RdiI4eAm6K8_5zTeLfgn-E76gvCQqci4	Фатальная Ошибка	DIAMOND II	DUO_SUPPORT	BOTTOM	52	3.74	4.97	9.6	9014.61	8008.21	9023.05	3547.94	5996.97	53763.68	7958.86	8296.06	5028.59	587.63	668.23	67816.18	12095.14	14962.04	643.99	2323.83	6213.9	3639.11	2.62	34.8	14.69	3.78	3.61	0.0	143.08	10208.98	25.37	96.63	5.93	279.92	3.49	0.7	12.54	0.38	0.08	0.02	0.0	0.0	0.1	0.75	0.71	1.78	1.23
tp_Fk_wZH7EKudlmX15AHlmhZ2CucVsEtqGotBk_yn7M8ow	GO NEXT FF15	DIAMOND II	DUO_CARRY	BOTTOM	59	6.06	4.31	7.08	11089.74	9963.17	17281.92	3601.45	6068.84	100841.11	12531.96	10419.65	7004.29	1149.77	1069.02	125128.21	17283.83	17558.31	600.94	4177.07	12648.31	5843.13	2.87	19.6	7.94	3.32	1.47	0.0	109.58	11059.31	14.39	149.9	22.5	552.53	15.16	1.52	13.19	0.71	0.1	0.02	0.0	0.0	0.24	1.39	1.3	3.24	1.43
_z3mAn7y_lhC_PURnVvG6g5H1xvWvwrP1MAj6bUXdogyvQc	snkjunior	DIAMOND II	DUO_SUPPORT	BOTTOM	61	3.51	5.05	12.24	8847.09	7822.0	33578.05	9451.73	5896.82	18170.89	3667.07	8129.69	2723.25	596.23	694.34	54472.99	13715.68	14721.71	577.26	1726.18	4098.13	5265.82	3.75	55.64	26.56	6.65	4.64	0.0	178.02	9673.39	31.88	50.85	4.13	61.99	2.18	0.55	12.76	0.21	0.02	0.0	0.0	0.0	0.18	0.63	0.82	1.68	1.15
lozO0NLwkPaihNmyb8J38izq8rUVVn-NGLY2X06qaI8qmfM	Before We Fade	DIAMOND II	DUO_CARRY	BOTTOM	48	6.59	4.69	6.99	11040.72	10268.24	22768.87	5691.2	6710.65	89248.76	11860.73	9585.5	4581.77	721.56	759.45	116600.17	18274.28	17056.29	585.85	3682.33	10921.63	3515.14	2.4	14.37	7.55	1.62	0.67	0.0	119.28	11036.0	8.26	159.77	14.67	175.08	10.03	1.07	13.45	0.79	0.1	0.04	0.01	0.0	0.38	1.48	1.44	3.36	1.63
aqu79hEKsJY3fGCH1jgZo6OCN8Byq9DqymgetsAcH4cm46Q	HanzoRizata	DIAMOND II	DUO_SUPPORT	BOTTOM	63	2.22	4.11	14.65	7983.18	7078.65	14834.36	6059.39	5711.1	8957.43	1876.35	7295.52	4073.69	784.3	649.84	27866.39	8720.74	13657.3	665.68	1782.17	3485.57	3006.15	3.21	48.89	22.78	4.4	4.02	0.0	154.96	13959.97	34.1	25.63	1.04	29.46	0.2	0.08	12.67	0.04	0.0	0.0	0.0	0.0	0.08	0.52	0.41	0.95	0.84
gWmUdFALLauXu4aFqGCyF-S31lZiZKPD2pkTCi2cNod5ojI	ŠUICIDE RENGARŠ	DIAMOND II	SOLO	MID	51	5.01	3.92	8.21	10060.38	9202.35	58618.03	9373.9	6751.58	42235.35	4677.14	9412.9	12925.41	907.39	630.78	113779.53	14959.29	16796.09	653.48	2611.45	8012.95	4998.57	1.67	21.88	10.09	2.6	2.22	0.0	223.87	10620.15	29.29	130.1	27.92	255.34	19.86	2.15	13.38	0.48	0.07	0.0	0.0	0.0	0.2	0.96	1.17	2.79	1.36
MyOtdviU3tuPcFOiy7zcFzt1AJcqCzz3Jzj77aaxbAV_lsM	BulochkaIsWifu	DIAMOND II	SOLO	BOTTOM	49	5.29	5.74	8.25	9876.51	8920.9	20917.89	4724.94	7609.01	59913.27	9393.16	12348.08	6006.27	1403.36	1285.59	86838.24	15522.17	21243.62	489.36	3053.21	6394.68	4431.86	1.9	20.22	8.93	2.89	1.49	0.0	150.02	18607.77	25.5	113.89	11.0	112.9	6.82	1.19	13.26	0.43	0.05	0.01	0.01	0.0	0.21	1.06	1.24	2.5	1.28
Jnrq1418Gp7ig_PJtmN6gOxh-BhLSzSAcEtUFcjtkDUVD9c	Sarangheroin	DIAMOND II	DUO_CARRY	BOTTOM	56	6.78	5.64	7.46	11309.1	10340.48	29079.68	6324.1	7067.27	92084.89	12187.51	11674.88	5646.13	641.37	1042.85	126811.42	19153.73	19785.84	582.15	4157.76	11036.2	3903.91	2.0	19.79	9.07	2.5	0.9	0.0	140.77	14015.75	13.37	155.23	15.51	361.98	8.63	2.32	13.83	0.73	0.1	0.02	0.0	0.0	0.22	1.48	1.57	3.22	1.52
_Ov4u4WLl1vl22EoASgcN6WWMs54IYrnvL2s7lcH2FFTLpo	ИНЕССА ДЕМОНЕССА	DIAMOND II	DUO_SUPPORT	BOTTOM	49	2.76	5.79	11.95	8165.68	7508.15	17518.6	5766.31	6987.87	19853.1	3042.23	10576.8	23575.66	698.06	1083.27	60948.23	9507.31	18648.81	543.64	997.27	3550.83	6493.62	3.57	40.66	19.16	3.99	2.86	0.0	133.97	16815.98	32.15	45.34	15.47	40.28	11.41	0.93	12.81	0.26	0.03	0.0	0.0	0.0	0.09	0.33	0.61	1.18	0.96
sux2--7ZNPaRCQfLW3Dm1Rvp13l74n_-jxndAUz_zUIPzXY	gei ge wei zi	DIAMOND II	SOLO	TOP	54	5.79	5.44	4.83	10608.29	9723.53	41174.06	6707.45	6900.29	81128.22	8241.75	14254.87	6150.46	443.58	1554.14	128453.4	15393.32	22710.22	522.71	3530.56	9787.97	6287.06	1.15	16.8	7.44	2.02	1.65	0.0	162.56	17120.5	15.59	149.62	24.1	4.58	13.66	4.06	13.57	0.64	0.12	0.02	0.01	0.0	0.16	1.24	1.21	2.77	1.4
